City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,ancud,-41.8697,-73.8203,6.41,83,99,1.02,CL,1696235553
273,taro,-8.3862,115.28,25.0,71,95,1.94,ID,1696235553
274,luena,-11.7833,19.9167,32.56,25,58,4.29,AO,1696235553
275,dongola,19.1667,30.4833,40.97,11,14,3.49,SD,1696235553
276,colonia,50.9333,6.95,21.05,73,0,2.06,DE,1696235387
277,bembereke,10.2283,2.6634,26.16,78,90,2.61,BJ,1696235554
278,cidreira,-30.1811,-50.2056,11.19,80,0,2.66,BR,1696235479
279,rundu,-17.9333,19.7667,36.16,14,7,5.71,NA,1696235554
280,sitka,57.0531,-135.33,10.94,87,100,3.6,US,1696235554
281,sereflikochisar,38.9393,33.5386,17.62,63,96,3.6,TR,1696235554
282,meulaboh,4.1363,96.1285,27.28,83,34,2.55,ID,1696235554
283,udachny,66.4167,112.4,0.25,92,94,5.16,RU,1696235554
284,wau,7.7029,27.9953,33.33,49,99,1.71,SS,1696235554
285,essaouira,31.5125,-9.77,23.72,33,100,1.54,MA,1696235554
286,broome,42.2506,-75.833,15.3,96,0,2.06,US,1696235555
287,cabral,18.25,-71.2167,26.64,83,100,1.81,DO,1696235555
288,pasni,25.2631,63.471,29.5,56,0,7.07,PK,1696235555
289,ust'-kut,56.7938,105.7672,2.17,68,100,3.68,RU,1696235538
290,manuguru,17.981,80.7547,28.68,85,100,1.11,IN,1696235555
291,callao,-12.0667,-77.15,19.29,82,100,6.17,PE,1696235555
292,avarua,-21.2078,-159.775,22.03,83,100,7.2,CK,1696235555
293,palo santo,-25.5633,-59.3378,13.7,68,100,2.62,AR,1696235555
294,ouesso,1.6136,16.0517,33.02,50,74,0.63,CG,1696235556
295,maues,-3.3836,-57.7186,24.74,56,97,0.96,BR,1696235556
296,kalabo,-14.97,22.6814,34.84,20,68,4.91,ZM,1696235556
297,keflavik,64.0049,-22.5624,8.24,76,0,9.26,IS,1696235556
298,camocim,-2.9022,-40.8411,24.9,83,71,5.58,BR,1696235556
299,queenstown,-31.8976,26.8753,22.46,19,0,3.18,ZA,1696235556
300,saint-philippe,-21.3585,55.7679,26.77,72,20,2.26,RE,1696235557
301,fort st. john,56.2499,-120.8529,7.94,76,100,4.12,CA,1696235273
302,acarau,-2.8856,-40.12,26.1,77,97,6.47,BR,1696235557
303,mhamid,29.82,-5.72,28.64,21,98,6.66,MA,1696235557
304,rumbek,6.802,29.6912,35.04,38,99,2.29,SS,1696235557
305,carnarvon,-24.8667,113.6333,20.55,63,26,10.88,AU,1696235557
306,usinsk,65.9939,57.5281,9.48,94,98,7.15,RU,1696235557
307,south hedland,-20.4089,118.5983,30.96,42,0,8.23,AU,1696235557
308,turpan,42.9333,89.1667,28.79,18,2,1.11,CN,1696235558
309,bojnurd,37.4747,57.329,23.97,16,0,0.0,IR,1696235558
310,ghadamis,30.1337,9.5007,27.1,35,0,6.72,LY,1696235558
